Descrição;Empenhado;Liquidado;Pago;Agrupador
" - 210002 - UG SEGOV - Secretaria de Governo";47.350.887,78;42.549.567,78;41.832.746,77;CDUNIDADEGESTORA
"    - 4 - Administração";47.350.887,78;42.549.567,78;41.832.746,77;CDFUNCAO
"      - 3 - Despesas Correntes";47.228.219,01;42.335.814,78;41.628.448,93;CDCATEGORIAECONOMICA
"        - 31 - Pessoal e Encargos Sociais";23.904.142,03;22.129.390,88;22.057.295,56;CDGRUPODESPESA
"          - 90 - Aplicações Diretas";23.275.451,26;21.602.835,50;21.533.705,20;CDMODALIDADEAPLICACAO
"            - 11 - Vencimentos e Vantagens Fixas - Pessoal Civil";20.527.587,07;19.161.510,71;19.161.510,71;CDELEMENTODESPESA
"                31901147 - 13º Salário - RPPS";74.444,52;74.444,52;74.444,52;CDSUBELEMENTODESPESA
"                31901148 - 13º Salário - RGPS";262.460,54;262.460,54;262.460,54;CDSUBELEMENTODESPESA
"                31901107 - ABONO PERMANÊNCIA - RPPS";183.775,18;157.177,78;157.177,78;CDSUBELEMENTODESPESA
"                31901125 - COMPLEMENTAÇÃO SALARIAL - RPPS";142.785,91;111.624,25;111.624,25;CDSUBELEMENTODESPESA
"                31901152 - FÉRIAS - RGPS";43.451,69;43.451,69;43.451,69;CDSUBELEMENTODESPESA
"                31901153 - FÉRIAS - RPPS";258.479,07;258.479,07;258.479,07;CDSUBELEMENTODESPESA
"                31901145 - FÉRIAS - ABONO CONSTITUCIONAL - RGPS";222.168,69;222.168,69;222.168,69;CDSUBELEMENTODESPESA
"                31901141 - FÉRIAS - ABONO CONSTITUCIONAL - RPPS";55.636,53;55.636,53;55.636,53;CDSUBELEMENTODESPESA
"                31901121 - GRATIFICAÇÃO DE TEMPO DE SERVIÇO - RPPS";370.576,19;329.910,78;329.910,78;CDSUBELEMENTODESPESA
